province,year,institution_code,institution_name,location,batch,plan_count,source_title,source_url,source_published_at,retrieved_at,field_evidence_level,notes
北京,2026,0321,陆军工程大学,江苏,本科普通批,8,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,0431,国防科技大学,湖南,本科普通批,10,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1003,中国人民公安大学,北京,本科普通批,9,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1008,中央美术学院,北京,本科普通批,23,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1009,中央戏剧学院,北京,本科普通批,18,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1010,北京体育大学,北京,本科普通批,65,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1011,中国社会科学院大学,北京,本科普通批,25,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1012,首都体育学院,北京,本科普通批,251,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1013,中国音乐学院,北京,本科普通批,34,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1021,北京大学,北京,本科普通批,200,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1022,中国人民大学,北京,本科普通批,150,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
北京,2026,1023,清华大学,北京,本科普通批,206,2026年北京市普通高等学校招生计划查询,https://query.bjeea.cn/queryService/rest/plan/115,2026-06-25,2026-06-25,official_current,官方查询页学校级计划汇总；缺少专业组和专业代码；不得用于生成具体候选池
