province,slug,authority_title,authority_url
北京,beijing,北京教育考试院,https://www.bjeea.cn/
天津,tianjin,天津市教育招生考试院/招考资讯网,http://www.zhaokao.net/
河北,hebei,河北省教育考试院,http://www.hebeea.edu.cn/
山西,shanxi,山西招生考试网,http://www.sxkszx.cn/
内蒙古,neimenggu,内蒙古招生考试信息网,https://www.nm.zsks.cn/
辽宁,liaoning,辽宁招生考试之窗,https://www.lnzsks.com/
吉林,jilin,吉林省教育考试院,http://www.jleea.com.cn/
黑龙江,heilongjiang,黑龙江省招生考试信息港,https://www.lzk.hl.cn/
上海,shanghai,上海市教育考试院/上海招考热线,https://www.shmeea.edu.cn/
江苏,jiangsu,江苏省教育考试院,https://www.jseea.cn/
浙江,zhejiang,浙江省教育考试院,https://www.zjzs.net/
安徽,anhui,安徽省教育招生考试院,https://www.ahzsks.cn/
福建,fujian,福建省教育考试院,https://www.eeafj.cn/
江西,jiangxi,江西省教育考试院,http://www.jxeea.cn/
山东,shandong,山东省教育招生考试院,https://www.sdzk.cn/
河南,henan,河南省教育考试院,https://www.haeea.cn/
湖北,hubei,湖北省教育考试院,http://www.hbea.edu.cn/
湖南,hunan,湖南省教育考试院,https://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/
广东,guangdong,广东省教育考试院,https://eea.gd.gov.cn/
广西,guangxi,广西招生考试院,https://www.gxeea.cn/
海南,hainan,海南省考试局,http://ea.hainan.gov.cn/
重庆,chongqing,重庆市教育考试院,https://www.cqksy.cn/
四川,sichuan,四川省教育考试院,https://www.sceea.cn/
贵州,guizhou,贵州省招生考试院,http://zsksy.guizhou.gov.cn/
云南,yunnan,云南省招生考试院/云南省招考频道,https://www.ynzs.cn/
西藏,xizang,西藏自治区教育考试院,http://zsks.edu.xizang.gov.cn/
陕西,shaanxi,陕西省教育考试院,https://www.sneea.cn/
甘肃,gansu,甘肃省教育考试院,https://www.ganseea.cn/
青海,qinghai,青海省教育考试网,http://www.qhjyks.com/
宁夏,ningxia,宁夏教育考试院,https://www.nxjyks.cn/
新疆,xinjiang,新疆教育考试院,https://www.xjzk.gov.cn/
